people,2063,5371.8,1146,6
should,1173,38.1,1105,6
found,209,2304.7,521,5
number,531,34.3,488,6
system,189,2141.5,476,6
during,152,2833.1,473,6
within,253,1165.1,472,6
before,220,1465.3,459,6
social,115,3523.1,458,6
always,597,423.9,446,6
second,224,659.4,373,6
family,171,1226.6,365,6
things,1103,9183.8,346,6
having,452,299.2,341,6
almost,118,1831.4,339,6
become,109,1866.2,326,6
public,102,1762.4,306,6
market,135,1147.1,305,6
before,316,4.4,304,6
others,126,1235.2,301,6
police,186,396.5,288,6
though,5,4885.8,273,6
mother,184,299.3,271,6
making,224,73.4,269,6
policy,223,63.6,264,6
turned,100,1269.4,263,6
period,111,1020.2,258,6
health,154,452.1,257,6
months,211,68,252,6
itself,105,1052.8,252,6
report,215,50.3,251,6
father,142,524.6,251,6
person,244,1.5,250,6
around,137,572.9,249,6
enough,241,0.5,244,6
became,45,2381.7,244,6
likely,91,1197.8,243,6
centre,133,552.3,242,6
action,88,1170,236,6
wanted,314,287.9,225,6
either,198,26.4,222,6
taking,224,1.9,217,6
around,196,20.3,217,6
moment,285,196.6,214,6
church,107,615.8,214,6
rather,209,0.6,213,6
change,110,556.3,212,6
behind,121,429.6,211,6
groups,85,871.9,206,6
result,74,1007.5,200,6
nature,63,1150.8,195,6
course,143,128,192,6
simply,98,488.7,187,6
single,94,538.6,187,6
former,21,2312.2,187,6
member,85,649.6,185,6
reason,180,0,181,6
figure,97,424.4,178,6
recent,36,1540.6,173,6
trying,311,836.7,171,6
friend,102,303.8,171,6
strong,77,606.9,170,6
higher,66,755.3,167,6
ground,80,484.9,163,6
series,35,1323.1,156,6
anyone,118,84.6,153,6
amount,138,5.1,147,6
future,99,165.3,147,6
simple,81,335,147,6
coming,522,5045.2,146,6
theory,35,1108.9,142,6
modern,50,752.5,141,6
growth,36,1061.1,141,6
rights,48,778.6,139,6
saying,577,6836.4,135,6
before,230,529.7,133,6
chance,109,42.6,133,6
record,73,299.3,133,6
energy,44,749.9,131,6
normal,88,134,129,6
levels,48,641.3,129,6
design,35,927.9,129,6
giving,113,13.3,126,6
choice,72,258.1,126,6
income,80,172.7,125,6
worked,152,53.5,124,6
scheme,78,190,124,6
opened,45,628.2,124,6
forces,26,1102.6,124,6
myself,159,97.7,122,6
season,37,722,118,6
played,68,226.6,117,6
points,110,2.2,116,6
showed,36,706.8,115,6
change,160,148,114,6
nearly,127,13.7,114,6
beyond,35,719.5,114,6
events,23,1048.3,114,6
colour,96,26.1,113,6
direct,41,564.2,112,6
couple,220,748.1,111,6
ensure,37,636.5,111,6
garden,88,43.8,110,6
advice,64,204.9,109,6
window,91,23.8,107,6
please,361,3259.4,106,6
useful,58,248.9,106,6
prices,57,257.6,106,6
doctor,106,0.2,105,6
extent,57,256.6,105,6
expect,119,17.2,104,6
easily,49,349.7,104,6
caused,29,712.1,103,6
raised,42,437.7,102,6
region,91,8.5,100,6
public,66,117.2,99,6
walked,55,215.6,99,6
highly,27,710.5,99,6
source,19,942,99,6
method,27,690.5,98,6
remain,23,809.5,98,6
county,258,1648.7,96,6
houses,97,0,96,6
failed,23,774.2,96,6
demand,30,577.3,95,6
status,23,769.8,95,6
return,23,741.3,95,6
charge,50,241.2,94,6
placed,17,910.5,94,6
hardly,46,282.6,93,6
places,91,0,91,6
caught,47,251.5,91,6
sector,61,103.8,90,6
future,39,346.2,90,6
answer,119,87.4,89,6
league,35,408.3,89,6
senior,28,534.8,89,6
moving,96,6.6,88,6
safety,68,49.5,88,6
weight,63,76.2,88,6
pupils,20,741,88,6
create,34,406.5,87,6
slowly,21,671.8,86,6
shares,19,723,86,6
closed,34,364.3,84,6
survey,32,398,84,6
return,18,751.4,84,6
smiled,3,1383.3,84,6
review,39,283.7,83,6
states,20,666.8,83,6
merely,18,715.6,83,6
studio,11,969.8,83,6
larger,24,552.1,82,6
values,15,786.4,82,6
helped,34,333.3,81,6
memory,38,266.1,80,6
forced,23,560.3,80,6
bought,194,1068.8,79,6
living,74,3.2,79,6
impact,37,259.5,79,6
anyway,503,8512.4,78,6
budget,110,104.6,78,6
active,24,494.7,78,6
plants,21,555.7,78,6
enough,125,230.5,77,6
inside,47,131.6,77,6
